id	node1	node1;label	label	label;label	node2	node2;label
Q142-P1313-Q3409212-6ccce57f-0	Q142	'France'@en	P1313	'office held by head of government'@en	Q3409212	'President of the Council'@en
Q142-P1313-Q1587677-c01905ab-0	Q142	'France'@en	P1313	'office held by head of government'@en	Q1587677	'Prime Minister of France'@en
Q142-P1906-Q191954-6aef5329-0	Q142	'France'@en	P1906	'office held by head of state'@en	Q191954	'President of the French Republic'@en
Q142-P35-Q12950-7c3d50a5-0	Q142	'France'@en	P35	'head of state'@en	Q12950	'Alain Poher'@en
Q142-P35-Q12950-f0c5114c-0	Q142	'France'@en	P35	'head of state'@en	Q12950	'Alain Poher'@en
Q142-P35-Q2042-961b77f2-0	Q142	'France'@en	P35	'head of state'@en	Q2042	'Charles de Gaulle'@en
Q142-P35-Q3052772-cb73d9ed-0	Q142	'France'@en	P35	'head of state'@en	Q3052772	'Emmanuel Macron'@en
Q142-P35-Q157-4a1e85c2-0	Q142	'France'@en	P35	'head of state'@en	Q157	'François Hollande'@en
Q142-P35-Q2038-05fdabcc-0	Q142	'France'@en	P35	'head of state'@en	Q2038	'François Mitterrand'@en
Q142-P35-Q2185-e26577be-0	Q142	'France'@en	P35	'head of state'@en	Q2185	'Georges Pompidou'@en
Q142-P35-Q2105-e65f3398-0	Q142	'France'@en	P35	'head of state'@en	Q2105	'Jacques Chirac'@en
Q142-P35-Q329-a0397f0b-0	Q142	'France'@en	P35	'head of state'@en	Q329	'Nicolas Sarkozy'@en
Q142-P35-Q158768-621b9d2d-0	Q142	'France'@en	P35	'head of state'@en	Q158768	'René Coty'@en
Q142-P35-Q2124-17bf43e7-0	Q142	'France'@en	P35	'head of state'@en	Q2124	'Valéry Giscard d\'Estaing'@en
Q142-P35-Q158772-17b8e938-0	Q142	'France'@en	P35	'head of state'@en	Q158772	'Vincent Auriol'@en
Q142-P6-Q560890-68ea0680-0	Q142	'France'@en	P6	'head of government'@en	Q560890	'Bernard Cazeneuve'@en
